STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WESD,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT07,WT08,WT09,WT11,WT13,WT16,WT18,WT19,WT22
USW00024257,"REDDING AIRPORT, CA US",3/5/10,1.12,446,1441,0,,,,56,42,10,170,0,6.9,8.9,,,,,,,,,,,1,,,
USW00024257,"REDDING AIRPORT, CA US",3/6/10,4.03,2131,920,0,,,,69,42,170,340,0,14.1,17,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",3/7/10,6.04,1623,1721,0,,,,68,40,190,190,0,16.1,17.9,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",3/8/10,6.04,1140,1141,0.01,,,,56,37,150,170,0,23,29.1,1,,,,1,,,,,1,1,,,
USW00024257,"REDDING AIRPORT, CA US",3/9/10,8.28,2148,2147,0.12,,,,52,35,190,190,0,21.9,29.1,1,,,,1,,,,,,1,,,
USW00024257,"REDDING AIRPORT, CA US",3/10/10,4.25,55,1149,0,,,,57,33,30,10,0,13,16.1,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",3/11/10,4.47,1336,1330,0,,,,59,36,190,190,0,16.1,21,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",3/12/10,8.05,1250,1250,0.33,,,,52,37,190,180,0,31.1,38,1,,,,1,,,,,1,1,,,
USW00024257,"REDDING AIRPORT, CA US",3/13/10,5.82,1236,1347,0,,,,57,31,50,10,0,17,21.9,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",3/14/10,4.92,1215,1214,0,,,,70,35,10,10,0,16.1,19.9,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",3/15/10,1.57,1355,1355,0,,,,67,36,150,160,0,8.9,12.1,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",3/16/10,2.46,1841,1337,0,,,,70,40,80,180,0,6.9,10.1,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",3/17/10,5.37,1116,1001,0,,,,80,47,10,360,0,16.1,19.9,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",3/18/10,13.65,843,841,0,,,,76,51,10,10,0,28,38.9,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",3/19/10,5.59,1019,1002,0,,,,81,48,10,360,0,16.1,21,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",3/20/10,2.46,1437,1418,0,,,,71,44,160,170,0,13,16.1,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",3/21/10,2.46,1406,1405,0,,,,66,45,150,150,0,10.1,14.1,,,,,1,,,,,,1,,,
USW00024257,"REDDING AIRPORT, CA US",3/22/10,8.28,1132,1132,0,,,,70,41,20,20,0,21.9,25.9,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",3/23/10,6.93,650,835,0,,,,76,46,350,360,0,17,23,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",3/24/10,8.95,1923,1937,0.04,,,,69,43,160,170,0,33.1,40,,,,,1,,,,,,1,,,
